Compound;SMILES;Cluster;Center;Smiles;RMSD;Model.ID;Energy;nRot
53635363;CC[C@H](C[C@@H](O)CCc1ccccc1)C(=O)N(NC(=O)O[C@H]1CCOC1)[C@H]1c2ccccc2C[C@@H]1O;0;No;CC[C@H](C[C@H](CCc1ccccc1)O)C(=O)N([C@@H]1[C@H](Cc2ccccc12)O)NC(=O)O[C@H]1CCOC1;0.041639306;1;-10.6;11
53678158;O=C(c1c(O)c(O)c(O)c(-c2ccccc2)c1O)c1c(O)c(O)c(O)c(-c2ccccc2)c1O;0;No;c1ccc(cc1)c1c(c(c(c(c1O)O)O)C(=O)c1c(c(c(c(c1O)c1ccccc1)O)O)O)O;0.030534511;1;-11.6;4
53801614;O=C(c1ccccc1)c1ccc(OCCCOc2ccc(C(=O)c3ccccc3)c(O)c2)cc1O;3;No;c1ccc(cc1)C(=O)c1c(cc(cc1)OCCCOc1cc(c(cc1)C(=O)c1ccccc1)O)O;0.042541247;1;-10.2;10
53847496;CC[C@H]1C[C@@H](O)[C@@H]([C@@]2(CC)C[C@H](C)[C@@H]([C@@H](CC)[C@H](N=O)[C@H](C)[C@@H](O)[C@H](C)CCc3ccc(C)c(O)c3C(=O)O)O2)O[C@@H]1C;3;No;CC[C@H]1C[C@H]([C@@H]([C@]2(C[C@@H]([C@@H]([C@@H](CC)[C@@H]([C@H](C)[C@H]([C@H](C)CCc3c(c(c(cc3)C)O)C(=O)O)O)N=O)O2)C)CC)O[C@@H]1C)O;0.0285252;1;-10.2;14
53865080;CN(C(=O)[C@@H](C[C@H](O)[C@@H](Cc1ccccc1)c1ccc(OCCN2CCOCC2)cc1)NC(=O)O[C@@H]1COC[C@@H]1O)[C@H]1c2ccccc2C[C@H]1O;0;No;CN([C@@H]1[C@@H](Cc2ccccc12)O)C(=O)[C@@H](C[C@@H]([C@@H](Cc1ccccc1)c1ccc(cc1)OCCN1CCOCC1)O)NC(=O)O[C@@H]1COC[C@@H]1O;0.025293799;1;-11.2;15
53967840;N[C@@H](CCCCn1c(O)c2c(c1O)[C@H]1C=C[C@@H]2[C@@H]2C=C[C@H]12)CSc1c[nH]c2ccc(Cl)cc12;0;No;C1=C[C@@H]2[C@H]1[C@@H]1C=C[C@H]2c2c(n(c(c12)O)CCCC[C@@H](CSc1c[nH]c2c1cc(cc2)Cl)N)O;0.044927508;1;-11.5;10
54067585;OC[C@@H]1O[C@@H](S[C@H]2CCCC[C@@H]2N[C@@H](COO)Cc2c[nH]c3ccccc23)[C@H](O)[C@@H](O)[C@H]1O;0;No;C1CC[C@@H]([C@H](C1)N[C@H](Cc1c[nH]c2ccccc12)COO)S[C@H]1[C@@H]([C@H]([C@H]([C@H](CO)O1)O)O)O;0.043045614;1;-10.2;9
54106860;CC(C)(C)c1cccc(O[C@H](c2cccc(C(C)(C)C)c2)C(CO)(COP(O)O)COP(O)O)c1;0;No;CC(C)(C)c1cc(ccc1)O[C@H](c1cc(ccc1)C(C)(C)C)C(CO)(COP(O)O)COP(O)O;0.031364884;1;-9.9;13
54184980;O=Cc1ccc(O[C@@H]2O[C@H](O)[C@H](O)C(=O)C2=O)c(O[C@H]2O[C@H](O)[C@@H](O)C(=O)C2=O)c1;3;No;c1cc(c(cc1C=O)O[C@@H]1C(=O)C(=O)[C@@H]([C@H](O1)O)O)O[C@H]1C(=O)C(=O)[C@H]([C@H](O1)O)O;0.047068533;1;-10.4;5
54393846;CNCC(=O)N(C)[C@H](C(=O)O)[C@@H](C)CC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(CCC(C)C)C(=O)NC(C)(C)C;0;No;C[C@@H](CC(=O)N[C@@H](Cc1ccccc1)[C@H](CN(CCC(C)C)C(=O)NC(C)(C)C)O)[C@@H](C(=O)O)N(C)C(=O)CNC;0.039644837;1;-9.6;17
