Compound,Model ID,Energy,nRot
CHEMBL255034,1,-10.7,5
CHEMBL1394734,1,-10.7,2
CHEMBL1375795,1,-10.7,7
CHEMBL1162053,1,-10.7,8
CHEMBL468209,1,-10.7,9
CHEMBL509386,1,-10.7,6
CHEMBL4066596,1,-10.7,6
CHEMBL425481,1,-10.7,9
CHEMBL440204,1,-10.7,11
CHEMBL233697,1,-10.7,15
CHEMBL524237,1,-10.7,9
CHEMBL1159563,1,-10.7,20
CHEMBL168270,1,-10.7,9
CHEMBL2048528,1,-10.7,10
CHEMBL2096900,1,-10.7,7
CHEMBL465420,1,-10.7,9
CHEMBL496680,1,-10.7,4
CHEMBL2036483,1,-10.7,6
CHEMBL3322344,1,-10.6,5
CHEMBL1963681,1,-10.6,9
CHEMBL1399656,1,-10.6,3
CHEMBL287488,1,-10.6,21
CHEMBL1365618,1,-10.6,3
CHEMBL1524370,1,-10.6,7
CHEMBL2332349,1,-10.6,10
CHEMBL1957016,1,-10.6,13
CHEMBL508539,1,-10.6,5
CHEMBL1081765,1,-10.6,13
CHEMBL2068904,1,-10.6,8
CHEMBL266060,1,-10.6,17
CHEMBL1940966,1,-10.6,15
CHEMBL559398,1,-10.6,7
CHEMBL2425137,1,-10.6,7
CHEMBL250450,1,-10.6,4
CHEMBL418300,1,-10.6,8
CHEMBL3980175,1,-10.6,8
CHEMBL44896,1,-10.6,7
CHEMBL2159106,1,-10.6,6
CHEMBL509018,1,-10.6,5
CHEMBL2333160,1,-10.6,7
CHEMBL1797059,1,-10.6,14
CHEMBL2431749,1,-10.6,18
CHEMBL3947722,1,-10.6,8
CHEMBL142990,1,-10.6,18
CHEMBL3594156,1,-10.6,20
CHEMBL45266,1,-10.6,7
CHEMBL439009,1,-10.6,9
CHEMBL518874,1,-10.6,11
CHEMBL2311860,1,-10.6,9
CHEMBL233930,1,-10.6,4
CHEMBL1572115,1,-10.6,4
CHEMBL1714031,1,-10.6,14
CHEMBL603614,1,-10.6,7
CHEMBL609185,1,-10.6,3
CHEMBL2059295,1,-10.6,3
CHEMBL445374,1,-10.6,4
CHEMBL3623648,1,-10.6,8
CHEMBL3673092,1,-10.6,8
CHEMBL403237,1,-10.6,8
CHEMBL1818475,1,-10.6,7
CHEMBL467415,1,-10.6,12
