Compound,Model ID,Energy,nRot
CHEMBL3138493,1,-12.2,5
CHEMBL1596636,1,-12.2,17
CHEMBL336573,1,-12.2,10
CHEMBL2011794,1,-12.2,4
CHEMBL3968275,1,-12.2,0
CHEMBL572061,1,-12.2,9
CHEMBL206423,1,-12.2,13
CHEMBL1398373,1,-12.2,7
CHEMBL2437491,1,-12.2,10
CHEMBL3315157,1,-12.2,1
CHEMBL3400936,1,-12.1,0
CHEMBL3144378,1,-12.1,14
CHEMBL500292,1,-12.1,13
CHEMBL359156,1,-12.1,12
CHEMBL339505,1,-12.1,6
CHEMBL2005340,1,-12.1,10
CHEMBL3735346,1,-12.1,6
CHEMBL234376,1,-12.1,5
CHEMBL2374992,1,-12.1,6
CHEMBL2001710,1,-12.1,6
CHEMBL1883743,1,-12.1,6
CHEMBL2367692,1,-12.1,7
CHEMBL538921,1,-12.1,7
CHEMBL500077,1,-12.1,15
CHEMBL1939709,1,-12.1,19
CHEMBL1985772,1,-12.1,6
CHEMBL1682706,1,-12.1,12
CHEMBL405285,1,-12.1,24
CHEMBL3037895,1,-12.1,9
CHEMBL1089510,1,-12.1,1
CHEMBL1682578,1,-12.1,12
CHEMBL511111,1,-12.1,16
CHEMBL1774452,1,-12.1,9
CHEMBL3215487,1,-12.1,14
CHEMBL1933209,1,-12.1,11
CHEMBL55706,1,-12.1,8
CHEMBL2331656,1,-12.1,3
CHEMBL280486,1,-12.1,7
CHEMBL32579,1,-12.1,6
CHEMBL3327102,1,-12.1,7
CHEMBL1198966,1,-12.1,8
CHEMBL344333,1,-12.1,7
CHEMBL321872,1,-12.1,7
CHEMBL465493,1,-12.1,7
CHEMBL361045,1,-12.1,12
CHEMBL104878,1,-12.1,9
CHEMBL3039085,1,-12.1,7
CHEMBL3588978,1,-12.1,10
CHEMBL447738,1,-12.1,7
CHEMBL446767,1,-12.1,7
CHEMBL262173,1,-12.1,16
CHEMBL116677,1,-12.1,12
CHEMBL333821,1,-12.0,10
CHEMBL227056,1,-12.0,10
CHEMBL516515,1,-12.0,1
CHEMBL601333,1,-12.0,7
CHEMBL356404,1,-12.0,3
CHEMBL572481,1,-12.0,8
CHEMBL415459,1,-12.0,15
CHEMBL2397730,1,-12.0,5
CHEMBL453200,1,-12.0,10
CHEMBL593139,1,-12.0,5
CHEMBL554393,1,-12.0,13
CHEMBL1172216,1,-12.0,4
CHEMBL451278,1,-12.0,13
CHEMBL433007,1,-12.0,16
CHEMBL463738,1,-12.0,9
CHEMBL1327126,1,-12.0,5
CHEMBL352134,1,-12.0,7
CHEMBL2152482,1,-12.0,5
CHEMBL446883,1,-12.0,9
CHEMBL473879,1,-12.0,9
CHEMBL449495,1,-12.0,13
CHEMBL113874,1,-12.0,9
CHEMBL25443,1,-12.0,11
CHEMBL1933211,1,-12.0,11
CHEMBL1682446,1,-12.0,15
CHEMBL1160795,1,-12.0,15
CHEMBL1984410,1,-12.0,7
